Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
About Me,,,,"Welcome to my corner of the internet! I'm Dylan Harris, I'm from Hollywood, Florida, a passionate traveler, explorer, and self-proclaimed aficionado of all things related to tourism. From the bustling streets of vibrant cities to the serene landscapes of remote destinations, I thrive on the thrill of discovering new cultures, cuisines, and experiences around the globe. Since I can remember, I've been consumed by a deep-seated wanderlust, an insatiable desire to venture beyond the familiar and immerse myself in the unfamiliar. Whether it's navigating the winding alleyways of ancient cities or trekking through untamed wilderness, each journey fuels my sense of wonder and curiosity, leaving an indelible mark on my soul. So, grab your passport, pack your bags, and let's explore the world together—one destination at a time. The adventure awaits!",10,,red,"Hollywood, Florida",,,,,,
Eiffel Tower,https://cdn.pixabay.com/photo/2015/10/06/18/26/eiffel-tower-975004_1280.jpg,"Source: nuno_lopes/Pixabay, CC BY-SA",https://cdn.pixabay.com/photo/2015/10/06/18/26/eiffel-tower-975004_1280.jpg,"The Eiffel Tower, an enduring emblem of Paris and a testament to human ingenuity, stands as one of the most iconic landmarks in the world. Rising majestically from the Champ de Mars park in the heart of Paris, France, this towering iron lattice structure reaches a height of 330 meters (1,083 feet), dominating the skyline and captivating the imagination of millions of visitors each year. Today, the Eiffel Tower stands as not only an architectural marvel but also a beacon of cultural significance and national pride for the people of France. Its sleek, lattice-like structure, inspired by both artistic and engineering principles, has become synonymous with the city of Paris itself, symbolizing romance, progress, and the enduring spirit of the French people.

Tourism plays a pivotal role in the Eiffel Tower's legacy, drawing millions of visitors from across the globe who flock to witness its splendor firsthand. From the moment visitors catch their first glimpse of the tower's silhouette on the Parisian skyline to the exhilarating ascent to its lofty observation decks, the Eiffel Tower offers an unforgettable experience steeped in history, beauty, and awe.",14,1,blue,"Paris, France",48.85849007,2.294492026,,,,
,media/google-sheet-screenshot.png,Screenshot of linked Google Sheet.,,"Right-click on the tiny ""View data"" link at the bottom of the map to open the contents of the linked Google Sheet in a new tab. Each row is a chapter, which contains the text of the story, links to media, and data about each point on the map. The Google Sheet also includes an ""Options"" tab with global settings for the overall map appearance.",14,Hidden,,"National Mall, Washington DC",38.88959795,-77.03527224,,,,
Statue of Liberty,https://cdn.pixabay.com/photo/2013/10/29/08/34/queen-of-liberty-202218_1280.jpg,"Source: stinne24/Pixabay, CC BY-SA",https://cdn.pixabay.com/photo/2013/10/29/08/34/queen-of-liberty-202218_1280.jpg,"The Statue of Liberty stands proudly on Liberty Island in New York Harbor, a symbol of freedom and democracy known throughout the world. This colossal copper statue, designed by French sculptor Frédéric Auguste Bartholdi and dedicated on October 28, 1886, was a gift from the people of France to the United States commemorating the centennial of the American Declaration of Independence. s one of the most iconic symbols of the United States, the Statue of Liberty attracts millions of visitors from around the world each year. Tourists can access Liberty Island via ferry from Battery Park in Lower Manhattan, where they are greeted by the towering figure of Lady Liberty, welcoming them to the shores of America. Upon arrival, visitors have the opportunity to explore the museum located within the pedestal, which houses exhibits detailing the history and significance of the statue, as well as offering panoramic views of New York Harbor from its observation deck.",14,2,orange,New York,40.68943648,-74.04446822,,,,
Mount Rushmore,https://cdn.pixabay.com/photo/2017/04/28/15/20/mount-rushmore-2268636_1280.jpg,"Source: TheDigitalArtist/Pixabay, CC BY-SA",https://cdn.pixabay.com/photo/2017/04/28/15/20/mount-rushmore-2268636_1280.jpg,"Nestled amidst the majestic Black Hills of South Dakota, Mount Rushmore stands as a towering testament to the ideals, leaders, and spirit of the United States. This iconic landmark, sculpted into the granite face of the mountain, features the larger-than-life likenesses of four revered American presidents: George Washington, Thomas Jefferson, Theodore Roosevelt, and Abraham Lincoln. Mount Rushmore draws millions of visitors from around the world each year, eager to witness this awe-inspiring tribute to American history and craftsmanship. Tourists can access the monument via the Mount Rushmore National Memorial, which features a visitor center, museum, and expansive viewing terrace offering panoramic vistas of the sculpted faces and the surrounding Black Hills.",14,3,yellow,"Keystone, South Dakota",43.88051354,-103.4537317,,,,
,media/marker-columns-screenshot.png,,,,,,,,,,,,,
"March on Washington at Lincoln Memorial, 1963",media/king-1963-npr.jpg,"Source: Agence France Presse/Getty Images, published by National Public Radio (2010)",https://www.npr.org/2010/01/18/122701268/i-have-a-dream-speech-in-its-entirety,"The Lincoln Memorial has been the setting for many civil rights protests, such as Dr. Martin Luther King Jr.'s speech during the 1963 March on Washington.",17,Hidden,blue,,,,,,,
"""I Have A Dream"" Speech by Dr. King, 1963",media/king-1963-npr.mp3,"Source: ""Talk of the Nation,"" National Public Radio (2010)",https://www.npr.org/2010/01/18/122701268/i-have-a-dream-speech-in-its-entirety,"In addition to images, you can also upload or link to audio files, which must be in one of these formats: mp3 (recommended), ogg, or wav. The template will automatically recognize audio files and allow readers to play them.<br><br>Listen to this short audio excerpt from Dr. King's 1963 speech at the Lincoln Memorial.",17,Hidden,blue,,,,,,,
Vietnam Veterans Memorial,https://www.youtube.com/embed/Q-082gadmDw?controls=0&amp;start=17,"Source: ""The Healing Wall"" (2015), a film by Christopher Kosinski",https://youtu.be/Q-082gadmDw,"You can also embed a link from a streaming video service such as YouTube. Click on the YouTube video Share button, select Embed, and copy and paste only the web link, which will look similar to this:<br>https://www.youtube.com/embed/Q-082gadmDw<br><br>Optionally, you can add user controls and a start time to the link and make it look like this:<br>https://www.youtube.com/embed/Q-082gadmDw?controls=0&amp;start=17<br><br>The Vietnam Veterans Memorial, designed by architect Maya Lin, was located near the Lincoln Memorial in 1982. Watch a portion of this video to learn more.",17,4,blue,"Vietnam Veterans Memorial, Washington DC",38.89130998,-77.04772393,,,,
"L'Enfant's Plan for the City, 1791",,,,"In addition, you can display georeferenced historical maps on top of your storymap to contrast with present-day maps. See the Overlay column in the linked Google Sheet for this chapter, and learn more in Chapter 14: Transform Your Map Data of our book.<br><br>This <a href='https://mapwarper.net/maps/52882' target='_blank'>facsimile of Pierre (Peter) Charles L'Enfant's 1791 map</a>, downloaded from an <a href='https://lccn.loc.gov/88694201' target='_blank'>1887 publication at the Library of Congress</a>, illustrates his grand design for the permanent seat of government, which he presented to President George Washington in the early days of the new republic.",13,Hidden,blue,"US Capitol Building, Washington DC",38.89008919,-77.0090505,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,0.7,,
"Washington City Canal, 1851",,,,"Also, you can add a GeoJSON layer of a route, boundary, or choropleth map on top of the storymap. See the GeoJSON column in the linked Google Sheet.<br><br><a href='https://en.wikipedia.org/wiki/National_Mall#/media/File:Lockkeepers_House_Location_Circa_1851.jpg' target='_blank'>Route of the 1851 Washington Canal</a> through the Mall.",13,Hidden,blue,"US Capitol Building, Washington DC",38.89008919,-77.0090505,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,0.7,geojson/canal-1851.geojson,color:red;weight:3
,media/sheet-row-to-hash-number.png,Google Sheet row number - 1 = hash number displayed in web browser.,,"The code template assigns each chapter a unique web address that ends with a numerical hashtag (such as ...#13). This means you can send people links to specific chapters, or refer back to another chapter in this storymap, such as <a href='index.html#2'>this internal link to chapter 2</a>.<br><br>Now hashtag #1 now matches your 1st row of content, immediately below the column headers, in the second row of your Google Sheet. In other words, spreadsheet row number - 1 = hashtag number. ",,Hidden,,,,,,,,
